Categoria;Codigo;Texto breve de material;Ubicación;Imagen
Estaciones;10000023;ACTUADOR NEUMATICO 6R TORQUE 65.8 N-m;5B1;https://i.ebayimg.com/images/g/O-sAAOSwR3RkSlwq/s-l400.png
Reguladores;10000037;AFV INPIRATOR CONTROL LOOP W/ZSC-100 PIL;C.C.E3B;https://i.ibb.co/C5TGNZwr/10000037.jpg
Polietileno;10000044;"PINZA SUJETADORA TERMOFUSION D  1/2"" IPS";5A1;https://samduplas.com/wp-content/uploads/2024/06/ANILLO-FRIO-20-MM-cod-2053.webp
Polietileno;10000045;"ANILLO FRIO PARATERMOFUSION D 3"" IPS";5A1;https://i.ibb.co/39MbJsTW/10000045.png
Polietileno;10000046;"PINZA SUJETADORA TERMOFUSION D 1"" IPS";5A1;https://media.falabella.com/sodimacCO/357996/public
Polietileno;10000047;"ANILLO FRIO D 2"" IPS TERMOFUSION";5A1;https://i.ibb.co/rgYv2Pq/10000047.jpg
Polietileno;10000048;"PINZA SUJETADORA TERMOFUSION D  3/4"" IPS";5A1;https://grupozambrano.com/wp-content/uploads/2023/05/Frame-1-2023-05-03T161201.268-1.png
Polietileno;10000072;"BISELADOR-CALIBRADOR TUB. D 1/2"" IPS PE";5A1;https://media.falabella.com/sodimacCO/358001/public
Polietileno;10000073;"BISELADOR-CALIBRADOR TUB. D 3/4"" IPS PE";5A1;https://http2.mlstatic.com/D_NQ_NP_946263-MCO74562566327_022024-O.webp
Estaciones;10000077;BLOQUE COMPOSITE Y PILOTO ZSC 150;5B1;https://i.ebayimg.com/images/g/rEoAAOSwLYhldmZZ/s-l1200.png
Acero;10000086;"BRIDA CIEGA AC FORJADO D 4"" ANSI 300 RF";6A2;https://www.fehierro.com/138-thickbox_default/brida-a-c-clase-300-ciega.jpg
Acero;10000088;"BRIDA CIEGA AC FORJADO D 4"" ANSI 150 RF";6C2;https://depotmx.com/wp-content/uploads/2019/02/57Brida-Ciega-scaled.jpg
Acero;10000089;"BRIDA CIEGA AC FORJADO D 6"" ANSI 150 RF";6A2;https://ecommercer.granadaycia.com/backend/admin/backend/web/archivosDelCliente/items/images/600-psi-ciega-bl-Bridas-en-acero-carbon-BRIDA-BL-AC-600-A105-RF-4-SQG-222620210226173110.JPG
Acero;10000090;"BRIDA CIEGA AC FORJADO D  2"" ANSI 150 RF";6C2;https://ecommercer.granadaycia.com/backend/admin/backend/web/archivosDelCliente/items/images/300-psi-ciega-bl-Bridas-en-acero-carbon-BRIDA-BL-AC-300-A105-RF-112-MTF-1020210226173102.JPG
Acero;10000091;"BRIDA WN AC FORJADO D  6"" ANSI 300 RF";6B2;https://http2.mlstatic.com/D_NQ_NP_615332-MLM83155651462_032025-O.webp
Acero;10000093;"BRIDA SLIP-ON AC FORJADO DE 3"" ANSI 300";6B2;https://www.dhidraulica.mx/wp-content/uploads/bridaslipon1.webp
Acero;10000096;"BRIDA WN AC FORJADO D 4"" ANSI 150 RF";6A2;https://www.fehierro.com/img/p/1/3/3/133.jpg
Acero;10000098;"BRIDA WN AC FORJADO D 3"" ANSI 150 RF";6A2;https://http2.mlstatic.com/D_NQ_NP_2X_693660-MLM72321403647_102023-T.webp
Rep.Herra.Varios;10000100;"BROCA CILINDRICA HSS D 1/16"" (1.5MM )";C.C.E9C;https://www.elferretero.com.mx/imageOriginal/BAV-1-16.jpg
Galvanizados;10000118;"REDUC BUSH AC 3000 LB D 1"" X 3/4"" NPT MH";6B2;https://ferropetrol.com/cdn/shop/files/bushing-acero-al-carbon_7515da78-cc53-43d3-b53d-c34fc0147fc8.jpg?v=1736978821
Galvanizados;10000121;"REDUC BUSH ACERO D 3/4""x1/2"" NPT";6B2;https://static.grainger.com/rp/s/is/image/Grainger/1RRN7_AS01?$zmmain$
Galvanizados;10000122;"REDUC BUSH HIERRO GAL D 1-1/2""x1"" NPT";2B1;https://http2.mlstatic.com/D_NQ_NP_778930-MLV79790391222_102024-O.webp
Galvanizados;10000123;"REDUC BUSH HIERRO GAL D 1-1/2""x1/2"" NPT";2B1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMcyJhWs_7ks9Y2xhOZcHILOEL0dj8PIxhPw&s
Galvanizados;10000124;"REDUC BUSH HIERRO GAL D 1-1/2""x3/4"" NPT";2B1;https://m.media-amazon.com/images/I/91yEO-FrD+L.jpg
Galvanizados;10000125;"REDUC BUSH HIERRO GAL D 1-1/4""x3/4"" NPT";2B1;https://baratadelvalle.com/wp-content/uploads/2021/12/1280072.jpg
Galvanizados;10000126;"REDUC BUSH HIERRO GAL D 1""x1/2"" NPT";2B1;https://promart.vteximg.com.br/arquivos/ids/222768/18361.jpg?v=636171472176700000
Galvanizados;10000127;"REDUC BUSH HIERRO GAL D 1""x3/4"" NPT";2B1;https://electrodomesticosolvera.com/cdn/shop/files/GALV040_1024x.png?v=1741304273
Galvanizados;10000128;"REDUC BUSH HIERRO GALV D 1/2""x1/4""NPT";2B1;https://ferreteriajamundi.com/wp-content/uploads/2023/12/bushing-1-2-x-1-4-galvanizado.jpg
Galvanizados;10000129;"REDUC BUSH HIERRO GAL D  1/2""x3/8"" NPT";2B1;https://cobreybronce.com/wp-content/uploads/2022/11/busching-galvanizado.jpg
Galvanizados;10000130;"REDUC BUSH HIERRO GAL D 2""x1-1/2"" NPT";2B1;https://media.falabella.com/sodimacCO/721136/public
Galvanizados;10000132;"REDUC BUSH HIERRO GAL D 2""x3/4"" NPT";2B1;https://ferreteriavidri.com/images/items/large/2499.jpg
Galvanizados;10000133;"REDUC BUSH HIERRO GAL D  3/4""x1/2"" NPT";2B1;https://hierropalermo.com/4848-large_default/bushing-galvanizado-34-x-12.jpg
Polietileno;10000175;"CARA TERMOFUSION D 2"" IPS SOCKET.";5A1;https://i.ibb.co/DgY96Mrs/10000175.png
Polietileno;10000176;"CARA TERMOFUSION D 3"" IPS SOCKET";5A1;https://i.ibb.co/LzNzWm4s/10000176.png
Polietileno;10000177;"CARA TERMOFUSION D 4"" IPS SOCKET";5A1;https://i.ibb.co/hRYZnVGq/10000177.png
Rep.Herra.Varios;10000194;CEPILLO ACERO;C.OF.P;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYVW3yRVvpmQLF_nstl9GulcZvqns1MyUERdeP3I191Q&s
Rep.Herra.Varios;10000209;CINTA METRICA DE  5mts;C.C.E5C;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3emBLhvDumnqMvhghaP0GX40qYgzu5XSWCg&s
Acero;10000227;"CODO AC SCH40 D 1"" X 90 GR RADIO LARGO";6B2;https://hfittings.com/wp-content/uploads/2024/04/50588aa425.webp
Acero;10000228;"CODO AC SCH40 D 4"" X 90 GR RADIO LARGO";6A2;https://http2.mlstatic.com/D_Q_NP_2X_923707-MLV80571367641_112024-T.webp
Acero;10000229;"CODO AC SCH40 D 6"" X 90 GR RADIO LARGO";6A2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP7rd81fU08chsVXOoCU7uh0DZyP_Nfl52XQ&s
Galvanizados;10000234;"CODO HIERRO GALV D 1-1/2""x90 GR";4A2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuuPX0A05X0roVZ1k2HFRJsR_gbjgXi4OggJz-ejqaSA&s
Galvanizados;10000235;"CODO HIERRO GALV D 1""x90 GR";4A3;https://edemco.co/uploads/imageproducts/8671129.webp
Galvanizados;10000236;"CODO HIERRO GALV D  1/2""x90 GR";3B2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyLbNX0qDYFga7W95ANzLhNAZZ5U5q_Lrqjw&s
Galvanizados;10000237;"CODO HIERRO GALV D  3/4""x90 GR";3B2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWYafLO-phUun6DRbt2CeJG-ddWPJGlJdGWPPHXpKagw&s
Galvanizados;10000238;"CODO HIERRO GALV D  3/8""x90 GR";3B2;https://media.falabella.com/sodimacCO/145405/public
Estaciones;10000239;"CODO AC INOX D 1/4"" OD X 1/4"" NPTM";C.C.E4C;https://www.swagelok.com/assets/images/product_images/large/SS-810-2-8.jpg?impolicy=superZoom
Polietileno;10000240;"CODO PE80 2"" IPS x90 GR RDE11 SOCKET";1A1;https://i.ibb.co/ZzJrn76h/10000240.jpg
Polietileno;10000241;"CODO   PE80 3"" IPS x90 GR RDE11 TOPE";1A1;https://i.ibb.co/tw4HPgyr/10000241.jpg
Polietileno;10000242;"CODO   PE80 4"" IPS x90 GR RDE11 TOPE";BD2;https://i.ibb.co/ycTwMk3G/10000242.jpg
Acero;10000245;"CODO AC D 1"" X 90 GR 3000 LB ROSCADO";6B2;https://i.ibb.co/qYXhbZwg/10000245.jpg
Internas;10000257;"CONECTOR FLEXIBLE PG 1312 3/4""";5B1;https://i.ibb.co/j9mn19Lm/10000257.png
Acometidas;10000258;"CONECTOR LAT D M26X1.5 1-PIEZA 1/2""FLARE";2B2;https://www.tcl.com.pe/wp-content/uploads/2021/09/TC-M26-01.jpg
Estaciones;10000261;"CONECTOR AC INOX 1/4"" OD X 1/8"" NPTM";C.C.E4C;https://m.media-amazon.com/images/I/51-gkmFPMkL._AC_UF894,1000_QL80_.jpg
